"Site.ID","Basin","Stream","Agency","Project","X2023","X2022","X2021","X2020","mean_BIBI","tercile_BIBI","trend_BIBI","long","lat","STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","GEOID","NAME","NAMELSAD","STUSPS","STATE_NAME","LSAD","ALAND","AWATER","local100_imp_coverage","local200_imp_coverage","OBJECTID","TNMID","MetaSource","LoadDate","NonContrib","NonContr_1","AreaSqKm","AreaAcres","GNIS_ID","Name","States","HUC12","HUType","HUMod","ToHUC","Shape_Leng","Shape_Area","STATEFP.1","COUNTYFP.1","COUNTYNS.1","AFFGEOID.1","GEOID.1","NAME.1","NAMELSAD.1","STUSPS.1","STATE_NAME.1","LSAD.1","ALAND.1","AWATER.1","drainage_imp_coverage"
2374,"Snoqualmie Forks Basin","Snoqualmie River - Middle Fork tributary (Lower)","King County - DNRP","Ambient Monitoring",75.3,72.5,83.6,76.8,77.05,"High",-1.56,-121.543278,47.544336,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0,0,86,"{70F8EB67-6323-47D8-B605-6EA3AACF0407}","{8A73A715-CE6B-4D93-8734-23C3DB84EF3B}","2013/01/18 07:09:32.000",0,0,123.34,30477.55,NA,"Lower Middle Fork Snoqualmie River","WA","171100100205","S","NM","171100100404",234869.492607739,1327713382.82499,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.00719878880741308
2362,"Snoqualmie Forks Basin","Snoqualmie River - Middle Fork tributary (Lower)","King County - DNRP","Ambient Monitoring",84.9,89.8,94.8,88.1,89.4,"High",-1.46,-121.61166,47.51684,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.01625,0.00631944444444444,86,"{70F8EB67-6323-47D8-B605-6EA3AACF0407}","{8A73A715-CE6B-4D93-8734-23C3DB84EF3B}","2013/01/18 07:09:32.000",0,0,123.34,30477.55,NA,"Lower Middle Fork Snoqualmie River","WA","171100100205","S","NM","171100100404",234869.492607739,1327713382.82499,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.00719878880741308
2363,"Snoqualmie Forks Basin","Snoqualmie River - Middle Fork tributary (Lower)","King County - DNRP","Ambient Monitoring",95.3,81.5,83.9,78,84.675,"High",4.94999999999999,-121.719565,47.488376,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.008,0.0381884057971014,86,"{70F8EB67-6323-47D8-B605-6EA3AACF0407}","{8A73A715-CE6B-4D93-8734-23C3DB84EF3B}","2013/01/18 07:09:32.000",0,0,123.34,30477.55,NA,"Lower Middle Fork Snoqualmie River","WA","171100100205","S","NM","171100100404",234869.492607739,1327713382.82499,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.00719878880741308
2365,"Snoqualmie Forks Basin","Snoqualmie River - Middle Fork tributary (Lower)","King County - DNRP","Ambient Monitoring",63,68.6,67.8,63.6,65.75,"Mid",-0.0999999999999941,-121.757711,47.48627,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0414705882352941,0.0826618705035971,86,"{70F8EB67-6323-47D8-B605-6EA3AACF0407}","{8A73A715-CE6B-4D93-8734-23C3DB84EF3B}","2013/01/18 07:09:32.000",0,0,123.34,30477.55,NA,"Lower Middle Fork Snoqualmie River","WA","171100100205","S","NM","171100100404",234869.492607739,1327713382.82499,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.00719878880741308
2591,"Snoqualmie Forks Basin","Snoqualmie River - Middle Fork tributary (Lower)","King County - DNRP","Ambient Monitoring",92.9,95.9,92,87.2,92,"High",2.10000000000001,-121.54146,47.54324,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0,0,86,"{70F8EB67-6323-47D8-B605-6EA3AACF0407}","{8A73A715-CE6B-4D93-8734-23C3DB84EF3B}","2013/01/18 07:09:32.000",0,0,123.34,30477.55,NA,"Lower Middle Fork Snoqualmie River","WA","171100100205","S","NM","171100100404",234869.492607739,1327713382.82499,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.00719878880741308
2604,"Snoqualmie Forks Basin","Snoqualmie River - Middle Fork tributary (Lower)","King County - DNRP","Ambient Monitoring",86.2,69.6,73.4,91.5,80.175,"High",-1.97,-121.640286,47.495175,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.052,0.0144927536231884,86,"{70F8EB67-6323-47D8-B605-6EA3AACF0407}","{8A73A715-CE6B-4D93-8734-23C3DB84EF3B}","2013/01/18 07:09:32.000",0,0,123.34,30477.55,NA,"Lower Middle Fork Snoqualmie River","WA","171100100205","S","NM","171100100404",234869.492607739,1327713382.82499,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.00719878880741308
2383,"Snoqualmie Forks Basin","Snoqualmie River - S Fork tributary","King County - DNRP","Ambient Monitoring",86.7,54.6,82.5,45.2,67.25,"High",9.66,-121.752865,47.467888,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0257142857142857,0.0814388489208633,88,"{65DA47A7-3D1F-4F7C-A7CB-2DC0DDAEDD73}","{8A73A715-CE6B-4D93-8734-23C3DB84EF3B}","2013/01/18 07:09:32.000",0,0,105.91,26171.94,NA,"Lower South Fork Snoqualmie River","WA","171100100302","S","NM","171100100404",207806.582316291,1140109885.27792,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0503505596206308
2222,"Snoqualmie Forks Basin","Snoqualmie River - S Fork tributary","King County - DNRP","Ambient Monitoring",74.9,70.7,76.9,77.2,74.925,"High",-1.31,-121.785286,47.488057,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.165625,0.251857142857143,88,"{65DA47A7-3D1F-4F7C-A7CB-2DC0DDAEDD73}","{8A73A715-CE6B-4D93-8734-23C3DB84EF3B}","2013/01/18 07:09:32.000",0,0,105.91,26171.94,NA,"Lower South Fork Snoqualmie River","WA","171100100302","S","NM","171100100404",207806.582316291,1140109885.27792,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0503505596206308
2221,"Snoqualmie Forks Basin","Snoqualmie River - S Fork tributary","King County - DNRP","Ambient Monitoring",61,79.8,77.1,77.9,73.95,"High",-4.80000000000001,-121.66643,47.440617,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0422857142857143,0.0511510791366906,88,"{65DA47A7-3D1F-4F7C-A7CB-2DC0DDAEDD73}","{8A73A715-CE6B-4D93-8734-23C3DB84EF3B}","2013/01/18 07:09:32.000",0,0,105.91,26171.94,NA,"Lower South Fork Snoqualmie River","WA","171100100302","S","NM","171100100404",207806.582316291,1140109885.27792,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0503505596206308
2384,"Snoqualmie Forks Basin","Snoqualmie River - S Fork tributary","King County - DNRP","Ambient Monitoring",77.7,63.8,62.8,63.6,66.975,"High",4.33000000000001,-121.772703,47.470956,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0,0.0133333333333333,88,"{65DA47A7-3D1F-4F7C-A7CB-2DC0DDAEDD73}","{8A73A715-CE6B-4D93-8734-23C3DB84EF3B}","2013/01/18 07:09:32.000",0,0,105.91,26171.94,NA,"Lower South Fork Snoqualmie River","WA","171100100302","S","NM","171100100404",207806.582316291,1140109885.27792,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0503505596206308
