Row	Site ID	WRIA	Basin	Subbasin	Stream	Agency	Project	Site Code	Latitude	Longitude	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
1	1026	WRIA 1 - Nooksack	Middle, S Forks Nooksack River Basin	Howard Creek Subbasin	Nooksack River - S Fork tributary	Washington State Department of Ecology	WatershedHealth_WAM0	WAM06600-000988	48.604695	-121.963048																43.4														
2	1007	WRIA 1 - Nooksack	N Fork Nooksack River Basin	Racehorse Creek Subbasin	Kenney Creek tributary	Washington State Department of Ecology	WatershedHealth_WAM0	WAM06600-000992	48.857139	-122.121388																67.5														
3	2534	WRIA 1 - Nooksack	N Fork Nooksack River Basin	Racehorse Creek Subbasin	Racehorse Creek	Washington State Department of Ecology	Ambient Freshwater Biological Monitoring Program	BIO06600-RACE77	48.867800	-122.044000																						91.5		86.4					85.1	
4	1018	WRIA 1 - Nooksack	N Fork Nooksack River Basin	Racehorse Creek Subbasin	Racehorse Creek	Washington State Department of Ecology	WatershedHealth_WAM0	WAM06600-000672	48.850546	-122.027492																90.8				80.9										
5	1019	WRIA 1 - Nooksack	N Fork Nooksack River Basin	Racehorse Creek Subbasin	Racehorse Creek	Washington State Department of Ecology	WatershedHealth_WAM0	WAM06600-005232	48.874767	-122.062089																41.3														
6	1623	WRIA 1 - Nooksack	Nooksack River Delta Basin	Squalicum Creek Subbasin	Squalicum Creek	Washington State Department of Ecology	TMDL Studies	At Baker Creek	48.776800	-122.491233																			0.4											
7	2524	WRIA 1 - Nooksack	Nooksack River Delta Basin	Squalicum Creek Subbasin	Squalicum Creek	Environmental Protection Agency	EPA Region 10, Office of Environmental Assessment Office, Aquatic Monitoring Team (AMT), Regional Applied Research Effort (RARE) project	EPA06600-SQUA01	48.788690	-122.439120																						34.9								
8	2528	WRIA 1 - Nooksack	Nooksack River Delta Basin	Squalicum Creek Subbasin	Squalicum Creek	Environmental Protection Agency	EPA Region 10, Office of Environmental Assessment Office, Aquatic Monitoring Team (AMT), Regional Applied Research Effort (RARE) project	EPA06600-SQUA02	48.776450	-122.480190																						15.3								
9	752	WRIA 1 - Nooksack	Nooksack River Delta Basin	Squalicum Creek Subbasin	Squalicum Creek	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	SQCR_0.11	48.762061	-122.508344									12.6	5.6																				
10	2686	WRIA 1 - Nooksack	Nooksack River Delta Basin	Squalicum Creek Subbasin	Squalicum Creek	City of Bellingham	Annual Macroinvertebrate Monitoring Program	SQCR_0.14	48.762390	-122.508129																							13.1	9	10.4	16.3	9.2			
11	753	WRIA 1 - Nooksack	Nooksack River Delta Basin	Squalicum Creek Subbasin	Squalicum Creek	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	SQCR_1.77	48.775666	-122.486996									5.6	2.9																				
12	2687	WRIA 1 - Nooksack	Nooksack River Delta Basin	Squalicum Creek Subbasin	Squalicum Creek	City of Bellingham	Annual Macroinvertebrate Monitoring Program	SQCR_2.10	48.776445	-122.480562																								11.5	6.9	10	1.9			
13	1595	WRIA 1 - Nooksack	Nooksack River Delta Basin	Squalicum Creek Subbasin	Squalicum Creek	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	SQCR_3.57	48.777730	-122.454300																		41.3							44.9	31.8	9			
14	751	WRIA 1 - Nooksack	Nooksack River Delta Basin	Squalicum Creek Subbasin	Squalicum Creek	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	SQCR_5.14	48.789217	-122.438570									28.3	20.7																				
15	1624	WRIA 1 - Nooksack	Nooksack River Delta Basin	Squalicum Creek Subbasin	Squalicum Creek	Washington State Department of Ecology	TMDL Studies	Squalicum Creek Above Cornwall Park	48.776433	-122.480350																			7.1											
16	1626	WRIA 1 - Nooksack	Nooksack River Delta Basin	Squalicum Creek Subbasin	Squalicum Creek	Washington State Department of Ecology	TMDL Studies	Squalicum Creek Above SR 542	48.800164	-122.401557																			85.3											
17	1622	WRIA 1 - Nooksack	Nooksack River Delta Basin	Squalicum Creek Subbasin	Squalicum Creek	Washington State Department of Ecology	TMDL Studies	Squalicum Creek at West St.	48.766133	-122.499900																			8.4											
