species,habitat_1,habitat_2,habitat_3,habitat_4,range,insectivore,riparian_obligate_breeding
American Crow,Medium Intensity Urban,High Intensity Developed,Low Intensity Developed,Open Space Developed,Year-Round,,
Black-capped Chickadee,Woodland,Low Intensity Developed,,,Year-Round,Yes,
Dark-eyed Junco,Evergreen Forest,Low Intensity Developed,Woodland,Deciduous Forest,Year-Round,,
Song Sparrow,Riparian,Low Intensity Developed,Forest,Grasslands,Year-Round,Yes,Yes
American Robin,Riparian,Medium Intensity Urban,Forest,Grasslands,Year-Round,Yes,
Spotted Towhee,Forest,,,,Year-Round,Yes,
Anna's Hummingbird,Low Intensity Developed,Medium Intensity Urban,Woodland,Grasslands,Year-Round,,
House Finch,Low Intensity Developed,Medium Intensity Urban,Grasslands,,Year-Round,,
Northern Flicker,Forest,Medium Intensity Urban,Woodland,Grasslands,Year-Round,Yes,
Bewick's Wren,Riparian,Forest,Grasslands,,Year-Round,Yes,Yes
Mallard,Riparian,High Intensity Developed,Open Water,,Year-Round,Yes,
Chestnut-backed Chickadee,Evergreen Forest,,,,Year-Round,Yes,
Steller's Jay,Forest,Woodland,,,Year-Round,,
Great Blue Heron,Riparian,Open Water,,,Year-Round,,
Red-breasted Nuthatch,Evergreen Forest,Woodland,,,Year-Round,Yes,
Canada Goose,Open Water,Medium Intensity Urban,Grasslands,,Year-Round,,
Osprey,Riparian,Low Intensity Developed,Open Water,Forest,Breeding,,
Cedar Waxwing,Riparian,Low Intensity Developed,Woodland,Forest,Year-Round,Yes,Yes
Bushtit,Woodland,Grasslands,Forest,,Year-Round,Yes,
American Goldfinch,Grasslands,Forest,,,Year-Round,,
European Starling,Medium Intensity Urban,High Intensity Developed,Low Intensity Developed,Open Space Developed,Year-Round,,
Glaucous-winged Gull,Open Water,,,,Year-Round,,
Red-winged Blackbird,Marsh,Low Intensity Developed,Grasslands,,Year-Round,Yes,
White-crowned Sparrow,Grasslands,Medium Intensity Urban,Low Intensity Developed,Forest,Year-Round,,
Bald Eagle,Riparian,Low Intensity Developed,Forest,,Year-Round,,
Barn Swallow,Riparian,Open Space Developed,Woody and Herbaceous Wetlands,,Breeding,Yes,Yes
Brown Creeper,Forest,Evergreen Forest,,,Year-Round,Yes,
Violet-green Swallow,Woodland,,,,Breeding,Yes,
Golden-crowned Kinglet,Evergreen Forest,Low Intensity Developed,,,Year-Round,Yes,
Downy Woodpecker,Riparian,Low Intensity Developed,Woodland,,Year-Round,Yes,
Rock Pigeon,Medium Intensity Urban,High Intensity Developed,Low Intensity Developed,,Year-Round,,
Gadwall,Riparian,Low Intensity Developed,Open Water,,Year-Round,,
Common Yellowthroat,Riparian,Low Intensity Developed,Grasslands,,Breeding,Yes,Yes
Wood Duck,Riparian,Open Water,Woody and Herbaceous Wetlands,,Year-Round,,
Swainson's Thrush,Riparian,Evergreen Forest,,,Breeding,Yes,Yes
Caspian Tern,Open Water,,,,Breeding,,
Belted Kingfisher,Riparian,Open Water,,,Year-Round,,Yes
Wilson's Warbler,Riparian,Forest,Woodland,,Breeding,Yes,Yes
Killdeer,Open Water,,,,Year-Round,Yes,
Black-headed Grosbeak,Riparian,Forest,,,Breeding,Yes,Yes
Western Flycatcher,Riparian,Forest,,,Breeding,Yes,Yes
Pied-billed Grebe,Open Water,,,,Year-Round,,
Brown-headed Cowbird,Grasslands,Open Space Developed,,,Breeding,,
House Sparrow,Medium Intensity Urban,High Intensity Developed,Low Intensity Developed,Open Space Developed,Year-Round,,
Savannah Sparrow,Grasslands,Open Space Developed,,,Breeding,Yes,
Tree Swallow,Riparian,Woody and Herbaceous Wetlands,,,Breeding,Yes,Yes
Purple Finch,Riparian,Evergreen Forest,,,Year-Round,,
Warbling Vireo,Riparian,Deciduous Forest,Marsh,,Breeding,Yes,Yes
Pine Siskin,Evergreen Forest,,,,Year-Round,,
Marsh Wren,Marsh,,,,Year-Round,Yes,
Yellow-rumped Warbler,Evergreen Forest,,,,Year-Round,Yes,
Yellow Warbler,Riparian,Deciduous Forest,,,Breeding,Yes,Yes
American Coot,Open Water,,,,Year-Round,,
Orange-crowned Warbler,Riparian,Deciduous Forest,,,Breeding,Yes,Yes
Cooper's Hawk,Riparian,Medium Intensity Urban,Forest,,Breeding,,Yes
Red-tailed Hawk,Grasslands,Medium Intensity Urban,Woodland,,Year-Round,,
Western Tanager,Forest,Woodland,,,Breeding,Yes,
Western Wood-Pewee,Riparian,Forest,Woodland,,Breeding,Yes,Yes
Pileated Woodpecker,Riparian,Forest,,,Year-Round,Yes,
Rufous Hummingbird,Forest,Medium Intensity Urban,Low Intensity Developed,,Breeding,,
Band-tailed Pigeon,Forest,,,,Breeding,,
Willow Flycatcher,Riparian,Evergreen Forest,,,Breeding,Yes,Yes
Common Raven,Forest,High Intensity Developed,Grasslands,Low Intensity Developed,Year-Round,,
Purple Martin,Riparian,Medium Intensity Urban,Forest,Low Intensity Developed,Breeding,Yes,
California Gull,Open Water,,,,Non-breeding,,
Red-breasted Sapsucker,Riparian,Evergreen Forest,,,Year-Round,,
Double-crested Cormorant,Open Water,,,,Migration,,
Pacific Wren,Riparian,Evergreen Forest,Deciduous Forest,,Year-Round,Yes,Yes
Black-throated Gray Warbler,Evergreen Forest,Low Intensity Developed,,,Breeding,Yes,
Hairy Woodpecker,Forest,Woodland,,,Year-Round,Yes,
Vaux's Swift,Evergreen Forest,Medium Intensity Urban,,,Breeding,Yes,
Common Merganser,Open Water,,,,Year-Round,,
Virginia Rail,Marsh,Woody and Herbaceous Wetlands,,,Year-Round,,
Northern Shoveler,Open Water,,,,Year-Round,,
Spotted Sandpiper,Open Water,,,,Year-Round,,
Green Heron,Riparian,Marsh,,,Breeding,,
Hutton's Vireo,Riparian,Low Intensity Developed,Forest,,Year-Round,Yes,Yes
California Scrub-Jay,Riparian,Medium Intensity Urban,Forest,,Year-Round,,
American Wigeon,Open Water,,,,Non-breeding,,
Barred Owl,Forest,,,,Year-Round,,
Turkey Vulture,Forest,Low Intensity Developed,Grasslands,,Breeding,,
Golden-crowned Sparrow,Grasslands,Medium Intensity Urban,Woodland,,Non-breeding,,
Green-winged Teal,Open Water,Marsh,,,Non-breeding,,
Northern Rough-winged Swallow,Woodland,Medium Intensity Urban,,,Breeding,Yes,
Hooded Merganser,Riparian,Forest,,,Year-Round,,
Townsend's Warbler,Evergreen Forest,,,,Year-Round,Yes,
Cliff Swallow,Riparian,Woodland,Grasslands,,Breeding,Yes,Yes
Ring-billed Gull,Open Water,,,,Non-breeding,,
Merlin,Grasslands,Woodland,,,Year-Round,,
Chipping Sparrow,Riparian,Grasslands,Evergreen Forest,Woodland,Breeding,Yes,
Olive-sided Flycatcher,Evergreen Forest,,,,Breeding,Yes,
Mourning Dove,Forest,Grasslands,Low Intensity Developed,,Year-Round,,
Red Crossbill,Evergreen Forest,,,,Year-Round,,
Bufflehead,Open Water,Woodland,,,Winter,Yes,
Eurasian Collared-Dove,Low Intensity Developed,Medium Intensity Urban,,,Year-Round,,
Ring-necked Duck,Marsh,Woody and Herbaceous Wetlands,,,Year-Round,,
Cinnamon Teal,Marsh,Woody and Herbaceous Wetlands,,,Breeding,,
Ruby-crowned Kinglet,Evergreen Forest,,,,Non-breeding,Yes,
Evening Grosbeak,Evergreen Forest,,,,Year-Round,,
Hermit Thrush,Riparian,Forest,,,Year-Round,Yes,Yes
Varied Thrush,Forest,,,,Year-Round,Yes,
Hammond's Flycatcher,Forest,Woodland,,,Breeding,Yes,
Blue-winged Teal,Open Water,Woody and Herbaceous Wetlands,Marsh,,Breeding,,
Red-eyed Vireo,Riparian,Forest,,,Breeding,Yes,Yes
American Pipit,Grasslands,,,,Breeding,Yes,
Marbled Murrelet,Evergreen Forest,,,,Breeding,,
Lincoln's Sparrow,Riparian,Forest,Marsh,,Non-breeding,Yes,Yes
MacGillivray's Warbler,Riparian,Forest,,,Breeding,Yes,Yes
Fox Sparrow,Woodland,,,,Non-breeding,Yes,
American Kestrel,Grasslands,Low Intensity Developed,Woodland,,Year-Round,,
Cackling Goose,Woody and Herbaceous Wetlands,Low Intensity Developed,,,Migration,,
American Bittern,Woody and Herbaceous Wetlands,Marsh,,,Breeding,,
Brewer's Blackbird,Grasslands,Medium Intensity Urban,Low Intensity Developed,,Year-Round,Yes,
Sharp-shinned Hawk,Forest,,,,Year-Round,,
American Dipper,Riparian,,,,Year-Round,Yes,Yes
American Barn Owl,Grasslands,Open Space Developed,Marsh,,Year-Round,,
Lesser Scaup,Woody and Herbaceous Wetlands,Marsh,Open Water,,Non-breeding,,
California Quail,Riparian,Woodland,,,Year-Round,,
Ruddy Duck,Open Water,Marsh,Woody and Herbaceous Wetlands,,Non-breeding,Yes,
Cassin's Vireo,Deciduous Forest,Evergreen Forest,,,Breeding,Yes,
Northern Harrier,Riparian,Marsh,Grasslands,Woody and Herbaceous Wetlands,Year-Round,,
Great Horned Owl,Forest,Low Intensity Developed,Woodland,,Year-Round,,
House Wren,Deciduous Forest,Medium Intensity Urban,Woodland,,Breeding,Yes,
White-throated Sparrow,Forest,,,,Migration,Yes,
Sooty Grouse,Forest,,,,Year-Round,,
Western Meadowlark,Grasslands,,,,Year-Round,Yes,
Western Screech-Owl,Riparian,Deciduous Forest,,,Year-Round,,
Western Bluebird,Riparian,Low Intensity Developed,Grasslands,Woodland,Breeding,Yes,
Northern Pygmy-Owl,Woodland,Forest,,,Year-Round,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Western Meadowlark,,,,,,,
