ARU_Label,ARU_lat,ARU_long,NEAR_FID,NEAR_DIST,stream_dist
UW1,47.74554,-122.21181,1757,11.2183055,3.419339517
UW10,47.308,-122.17025,5657,8.781500831,2.676601453
UW11,47.30273,-122.27232,2143,16.24282382,4.9508127
UW12,47.303,-122.26053,2131,68.96802073,21.02145272
UW13,47.36951,-122.20883,11804,24.24587914,7.390143961
UW14,47.38269,-122.22351,11804,19.68429376,5.999772737
UW15,47.40697,-122.21634,11820,79.0965052,24.10861479
UW16,47.44195,-122.20759,11800,41.39994396,12.61870292
UW17,47.55227,-122.1651,11132,13.50792572,4.11721576
UW18,47.57841,-122.11404,1870,10.30691865,3.141548805
UW21,47.55093,-122.04667,11553,110.817654,33.77722094
UW22,47.46611,-122.20737,11797,3667.943994,1117.98933
UW23,47.46643,-122.15948,11196,87.15547401,26.56498848
UW24,47.45262,-122.13853,11198,110.9644796,33.82197338
UW25,47.53248,-121.98078,11561,142.5908418,43.46168858
UW26,47.53193,-121.97564,11563,123.4845708,37.63809717
UW27,47.52586,-121.94147,11561,70.59245791,21.51658117
UW28,47.48926,-121.72281,7403,0.669976018,0.20420869
UW29,47.4881,-121.78541,10875,51.44677039,15.68097561
UW3,47.76312,-122.1564,5140,67.19634455,20.48144582
UW30,47.48461,-122.02875,5081,27.64246258,8.425422595
UW4,47.74255,-122.14172,11629,25.71058506,7.836586327
UW5,47.69706,-122.13156,5202,8.913872996,2.716948489
UW6,47.6824,-122.14392,1797,1.339621844,0.408316738
UW7,47.3748,-122.01706,11222,140.4370343,42.80520806
UW8,47.35855,-122.12494,5667,19.89273042,6.063304231
UW9,47.33085,-122.1548,8668,44.54636431,13.57773184
