site,Impervious,Shrub/Low Vegetation,Tree/Forest/High Vegetation,Open Water,"Impervious, Covered by Tree Canopy",Unclassified
UW1,19.98853065,28.00114694,52.01032242,0,0,0
UW10,8.639928585,46.63010904,42.42173054,2.308231843,0,0
UW11,10.39341963,0.044634317,79.0792578,0,8.968309635,1.514378627
UW12,20.95890411,17.03727302,52.17903791,0,8.773494744,1.05129022
UW13,1.921851096,0,93.77868434,0,4.299464559,0
UW14,24.3380174,30.43048784,45.23149476,0,0,0
UW15,18.04935595,0,69.9368703,0,2.987501594,9.026272159
UW16,24.41752988,16.68525896,58.89721116,0,0,0
UW17,0,0,100,0,0,0
UW18,38.98629264,33.75518011,27.25852726,0,0,0
UW21,23.41802416,5.122892027,67.10127833,0.513245561,1.759699066,2.08486085
UW22,36.02880265,25.69617027,38.27502708,0,0,0
UW23,0.748693768,0,99.08245189,0,0.168854339,0
UW24,0.041444831,0,98.95750311,0,0.602544075,0.398507986
UW25,25.63890128,14.78235931,59.5787394,0,0,0
UW26,8.645753634,4.179418516,80.47691915,0,0.860749809,5.837158888
UW27,7.772251977,0,79.46633512,0,4.70862025,8.052792655
UW28,5.446664754,10.7658476,83.78748765,0,0,0
UW29,11.65917854,30.93394513,43.93461428,13.47226205,0,0
UW3,23.72165407,26.79921235,49.47913358,0,0,0
UW30,17.78818582,20.51233034,53.90938635,7.790097496,0,0
UW4,9.590132585,0.207164712,78.37837838,0,4.822157063,7.002167262
UW5,35.55774989,24.0236988,40.41855132,0,0,0
UW6,46.75419867,1.982217407,29.95952707,0,17.094235,4.209821855
UW7,0,0,100,0,0,0
UW8,45.50667389,1.038514224,40.70593482,0,6.72804307,6.020833997
UW9,4.335628666,0,77.2124458,0,13.80706452,4.644861005
