site,species_early,species_late,species,species_count_val,Impervious,Shrub.Low.Vegetation,Tree.Forest.High.Vegetation,Open.Water,Impervious..Covered.by.Tree.Canopy,Unclassified,stream_dist,totalimp,alpha,mean_BIBI,early_count,late_count
UW3,"Black-headed Grosbeak, Willow Flycatcher",Willow Flycatcher,"Black-headed Grosbeak, Willow Flycatcher",2,23.72165407,26.79921235,49.47913358,0,0,0,20.48144582,23.72165407,33,48.325,2,1
UW4,Swainson's Thrush,Swainson's Thrush,Swainson's Thrush,1,9.590132585,0.207164712,78.37837838,0,4.822157063,7.002167262,7.836586327,14.41228965,16,40.25,1,1
UW7,"Swainson's Thrush, Wilson's Warbler",Swainson's Thrush,"Swainson's Thrush, Wilson's Warbler",2,0,0,100,0,0,0,42.80520806,0,36,91.3,2,1
UW9,Swainson's Thrush,"Swainson's Thrush, Western Wood-Pewee","Swainson's Thrush, Western Wood-Pewee",2,4.335628666,0,77.2124458,0,13.80706452,4.644861005,13.57773184,18.14269319,32,64.75,1,2
UW10,"Black-headed Grosbeak, Common Yellowthroat, Swainson's Thrush, Warbling Vireo, Western Wood-Pewee, Willow Flycatcher","Black-headed Grosbeak, Common Yellowthroat, Swainson's Thrush, Warbling Vireo, Western Wood-Pewee, Willow Flycatcher","Black-headed Grosbeak, Common Yellowthroat, Swainson's Thrush, Warbling Vireo, Western Wood-Pewee, Willow Flycatcher",6,8.639928585,46.63010904,42.42173054,2.308231843,0,0,2.676601453,8.639928585,40,66.2,6,6
UW11,"Swainson's Thrush, Wilson's Warbler",,"Swainson's Thrush, Wilson's Warbler",2,10.39341963,0.044634317,79.0792578,0,8.968309635,1.514378627,4.9508127,19.36172927,28,49.65,2,0
UW12,"Black-headed Grosbeak, Swainson's Thrush, Western Wood-Pewee, Wilson's Warbler","Swainson's Thrush, Western Wood-Pewee",Swainson's Thrush,4,20.95890411,17.03727302,52.17903791,0,8.773494744,1.05129022,21.02145272,29.73239885,29,41.925,4,2
UW13,Swainson's Thrush,Swainson's Thrush,,1,1.921851096,0,93.77868434,0,4.299464559,0,7.390143961,6.221315655,36,21.35,1,1
UW15,"Warbling Vireo, Western Wood-Pewee",Western Wood-Pewee,"Warbling Vireo, Western Wood-Pewee",2,18.04935595,0,69.9368703,0,2.987501594,9.026272159,24.10861479,21.03685754,25,26.175,2,1
UW16,Wilson's Warbler,,Wilson's Warbler,1,24.41752988,16.68525896,58.89721116,0,0,0,12.61870292,24.41752988,34,27.175,1,0
UW18,Willow Flycatcher,,Willow Flycatcher,1,38.98629264,33.75518011,27.25852726,0,0,0,3.141548805,38.98629264,28,13.425,1,0
UW21,Swainson's Thrush,,Swainson's Thrush,1,23.41802416,5.122892027,67.10127833,0.513245561,1.759699066,2.08486085,33.77722094,25.17772323,17,73.125,1,0
UW23,"Black-headed Grosbeak, Red-eyed Vireo, Wilson's Warbler",Western Wood-Pewee,"Black-headed Grosbeak, Red-eyed Vireo, Western Wood-Pewee, Wilson's Warbler",4,0.748693768,0,99.08245189,0,0.168854339,0,26.56498848,0.917548107,34,53.225,3,1
UW24,Wilson's Warbler,,Wilson's Warbler,1,0.041444831,0,98.95750311,0,0.602544075,0.398507986,33.82197338,0.643988906,26,26.7,1,0
UW25,"Black-headed Grosbeak, Swainson's Thrush, Warbling Vireo",,"Black-headed Grosbeak, Swainson's Thrush, Warbling Vireo",3,25.63890128,14.78235931,59.5787394,0,0,0,43.46168858,25.63890128,24,63.075,3,0
UW26,"Swainson's Thrush, Warbling Vireo, Western Wood-Pewee, Wilson's Warbler","Swainson's Thrush, Western Wood-Pewee","Swainson's Thrush, Warbling Vireo, Western Wood-Pewee, Wilson's Warbler",4,8.645753634,4.179418516,80.47691915,0,0.860749809,5.837158888,37.63809717,9.506503443,30,80.6,4,2
UW27,"Swainson's Thrush, Warbling Vireo","Swainson's Thrush, Western Wood-Pewee","Swainson's Thrush, Warbling Vireo, Western Wood-Pewee",3,7.772251977,0,79.46633512,0,4.70862025,8.052792655,21.51658117,12.48087223,38,97.3,2,2
UW28,"Black-headed Grosbeak, Swainson's Thrush","Black-headed Grosbeak, Swainson's Thrush","Black-headed Grosbeak, Swainson's Thrush",2,5.446664754,10.7658476,83.78748765,0,0,0,0.20420869,5.446664754,31,84.675,2,2
UW29,"Red-eyed Vireo, Swainson's Thrush, Willow Flycatcher",Swainson's Thrush,"Red-eyed Vireo, Swainson's Thrush, Willow Flycatcher",3,11.65917854,30.93394513,43.93461428,13.47226205,0,0,15.68097561,11.65917854,39,74.925,3,1
UW30,,,,0,17.78818582,20.51233034,53.90938635,7.790097496,0,0,8.425422595,17.78818582,22,77.93333333,0,0
UW17,,,,0,0,0,100,0,0,0,4.11721576,0,33,48.95,0,0
UW5,,,,0,35.55774989,24.0236988,40.41855132,0,0,0,2.716948489,35.55774989,19,11.1,0,0
UW22,,,,0,36.02880265,25.69617027,38.27502708,0,0,0,30.852303,36.02880265,33,1.9,0,0
UW1,,,,0,19.98853065,28.00114694,52.01032242,0,0,0,3.419339517,19.98853065,25,23.225,0,0
UW6,,,,0,46.75419867,1.982217407,29.95952707,0,17.094235,4.209821855,0.408316738,63.84843367,19,7.675,0,0
UW8,,,,0,45.50667389,1.038514224,40.70593482,0,6.72804307,6.020833997,6.063304231,52.23471696,25,55.4,0,0
