Row	Visit ID	Site ID	WRIA Number	WRIA	Basin	Subbasin	Stream	Agency	Project	Site Code	Latitude	Longitude	Event Date	Date Released	Taxonomic Resolution	Total SqFt	Taxa Richness Quantity	Ephemeroptera Richness Quantity	Plecoptera Richness Quantity	Trichoptera Richness Quantity	EPT Richness Quantity	Clinger Richness Quantity	Long-Lived Richness Quantity	Intolerant Richness Quantity	Percent Dominant Quantity	Predator Percent Quantity	Tolerant Percent Quantity	Number of Organisms	Overall Score	Taxa Richness Score	Ephemeroptera Richness Score	Plecoptera Richness Score	Trichoptera Richness Score	Clinger Richness Score	Long-Lived Richness Score	Intolerant Richness Score	Percent Dominant Score	Predator Percent Score	Tolerant Percent Score
1	12534	2534	1	WRIA 1 - Nooksack	N Fork Nooksack River Basin	Racehorse Creek Subbasin	Racehorse Creek	Washington State Department of Ecology	Ambient Freshwater Biological Monitoring Program	BIO06600-RACE77	48.867800	-122.044000	9/7/2022	11/2/2023	Fine	8	47	10	8	9	27	22	6	11	37.2%	12.6%	0.0%	500	85.1	6.9	10.0	10.0	10.0	8.8	5.0	10.0	8.6	5.8	10.0
2	13208	971	1	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Chuckanut Creek	Washington State Department of Ecology	Ambient Freshwater Biological Monitoring Program	BIO06600-CHUC02	48.701850	-122.488270	8/15/2023	9/20/2024	Fine	8	55	10	3	6	19	22	5	5	37.6%	5.2%	2.4%	500	68.5	9.7	10.0	2.9	6.2	8.8	3.8	7.1	8.5	2.1	9.4
3	11925	970	1	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Lake Whatcom Subbasin	Austin Creek	Washington State Department of Ecology	Ambient Freshwater Biological Monitoring Program	BIO06600-AUST02	48.706500	-122.342570	9/7/2021	7/15/2022	Fine	8	66	11	10	13	34	31	9	10	20.2%	11.6%	0.0%	500	94.1	10.0	10.0	10.0	10.0	10.0	8.8	10.0	10.0	5.3	10.0
4	13091	3227	3	WRIA 3 - Lower Skagit / Samish	Fidalgo Basin	Fidalgo Island Subbasin	Fornsby Creek	Swinomish Indian Tribal Community	Swinomish Indian Tribal Community Stream Bioassessment Monitoring	FOR	48.431830	-122.516582	10/5/2023	3/6/2024	Fine	8	31	3	4	3	10	8	3	0	68.6%	7.8%	2.8%	500	25.7	1.4	2.9	4.3	2.5	0.6	1.2	0.0	0.1	3.4	9.3
5	13092	3226	3	WRIA 3 - Lower Skagit / Samish	Fidalgo Basin	Fidalgo Island Subbasin	Munks Creek	Swinomish Indian Tribal Community	Swinomish Indian Tribal Community Stream Bioassessment Monitoring	MUN	48.420065	-122.502420	10/3/2023	3/6/2024	Fine	8	31	2	3	4	9	8	5	0	54.4%	12.6%	27.6%	500	27.1	1.4	1.4	2.9	3.8	0.6	3.8	0.0	3.9	5.8	3.6
6	13093	3228	3	WRIA 3 - Lower Skagit / Samish	Fidalgo Basin	Fidalgo Island Subbasin	SneeOosh Creek	Swinomish Indian Tribal Community	Swinomish Indian Tribal Community Stream Bioassessment Monitoring	SNE	48.395991	-122.535501	10/12/2023	3/6/2024	Fine	8	39	3	4	5	12	10	6	0	53.0%	14.1%	6.4%	313	42.4	4.1	2.9	4.3	5.0	1.8	5.0	0.0	4.3	6.6	8.5
7	12396	520	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Cherry Creek Subbasin	Cherry Creek	King County - DNRP	Regulatory Effectiveness	05B	47.740049	-121.941377	10/3/2022	2/6/2023	Coarse	3	37	6	9	7	22	16	7	4	45.4%	15.0%	0.4%	500	79.6	10.0	7.1	10.0	7.5	6.5	6.2	5.7	9.6	7.0	9.9
8	12682	2369	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Cherry Creek Subbasin	Cherry Creek	King County - DNRP	Ambient Monitoring	07CHR045515	47.746050	-121.898520	8/29/2023	4/16/2024	Fine	8	62	11	6	9	26	33	5	7	41.4%	7.4%	5.2%	500	80.3	10.0	10.0	7.1	10.0	10.0	3.8	10.0	7.5	3.2	8.8
9	12717	2377	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Cherry Creek Subbasin	Cherry Creek	King County - DNRP	Ambient Monitoring	07CHR234411	47.741700	-121.939820	8/29/2023	4/16/2024	Fine	8	57	10	7	7	24	31	7	6	39.4%	11.4%	6.8%	500	82.5	10.0	10.0	8.6	7.5	10.0	6.2	8.6	8.0	5.2	8.4
10	12715	2371	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Cherry Creek Subbasin	Margaret Creek	King County - DNRP	Ambient Monitoring	07CHR070059	47.753810	-121.894100	9/12/2023	5/17/2024	Fine	8	62	9	12	8	29	29	10	9	31.6%	15.4%	1.0%	500	95.7	10.0	10.0	10.0	8.8	10.0	10.0	10.0	10.0	7.2	9.8
