Row	Site ID	WRIA	Basin	Subbasin	Stream	Agency	Project	Site Code	Latitude	Longitude	2021	2022	2023	2024
1	2534	WRIA 1 - Nooksack	N Fork Nooksack River Basin	Racehorse Creek Subbasin	Racehorse Creek	Washington State Department of Ecology	Ambient Freshwater Biological Monitoring Program	BIO06600-RACE77	48.867800	-122.044000		85.1		
2	971	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Chuckanut Creek	Washington State Department of Ecology	Ambient Freshwater Biological Monitoring Program	BIO06600-CHUC02	48.701850	-122.488270			68.5	
3	970	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Lake Whatcom Subbasin	Austin Creek	Washington State Department of Ecology	Ambient Freshwater Biological Monitoring Program	BIO06600-AUST02	48.706500	-122.342570	94.1			
4	3227	WRIA 3 - Lower Skagit / Samish	Fidalgo Basin	Fidalgo Island Subbasin	Fornsby Creek	Swinomish Indian Tribal Community	Swinomish Indian Tribal Community Stream Bioassessment Monitoring	FOR	48.431830	-122.516582		46.8	25.7	
5	3226	WRIA 3 - Lower Skagit / Samish	Fidalgo Basin	Fidalgo Island Subbasin	Munks Creek	Swinomish Indian Tribal Community	Swinomish Indian Tribal Community Stream Bioassessment Monitoring	MUN	48.420065	-122.502420		38.4	27.1	
6	3228	WRIA 3 - Lower Skagit / Samish	Fidalgo Basin	Fidalgo Island Subbasin	SneeOosh Creek	Swinomish Indian Tribal Community	Swinomish Indian Tribal Community Stream Bioassessment Monitoring	SNE	48.395991	-122.535501		26.3	42.4	
7	520	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Cherry Creek Subbasin	Cherry Creek	King County - DNRP	Regulatory Effectiveness	05B	47.740049	-121.941377	65.9	79.6		
8	2369	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Cherry Creek Subbasin	Cherry Creek	King County - DNRP	Ambient Monitoring	07CHR045515	47.746050	-121.898520	64.9	74.9	80.3	
9	2377	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Cherry Creek Subbasin	Cherry Creek	King County - DNRP	Ambient Monitoring	07CHR234411	47.741700	-121.939820	57	43.3	82.5	
10	2371	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Cherry Creek Subbasin	Margaret Creek	King County - DNRP	Ambient Monitoring	07CHR070059	47.753810	-121.894100	87.2	69.7	95.7	
11	2592	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Griffin Creek Subbasin	Griffin Creek	King County - DNRP	Ambient Monitoring	07GRN022903	47.610886	-121.864122	72.8	70.5	69.5	
12	2376	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Griffin Creek Subbasin	Griffin Creek	King County - DNRP	Ambient Monitoring	07GRN077319	47.615841	-121.900707	59.7	61.2	75.1	
13	1235	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Griffin Creek Subbasin	Griffin Creek	Washington State Department of Ecology	Status and Trends WA Statewide Sentinel Site Monitoring	SEN06600-GRIF09	47.604630	-121.885050	83.9	77.8	88.4	
