Row,Site ID,WRIA,Basin,Subbasin,Stream,Agency,Project,Site Code,Latitude,Longitude,2020,2021,2022,2023,2024
1,2534,WRIA 1 - Nooksack,N Fork Nooksack River Basin,Racehorse Creek Subbasin,Racehorse Creek,Washington State Department of Ecology,Ambient Freshwater Biological Monitoring Program,BIO06600-RACE77,48.8678,-122.044,,,85.1,,
2,2686,WRIA 1 - Nooksack,Nooksack River Delta Basin,Squalicum Creek Subbasin,Squalicum Creek,City of Bellingham,Annual Macroinvertebrate Monitoring Program,SQCR_0.14,48.76239,-122.508129,9.2,,,,
3,2687,WRIA 1 - Nooksack,Nooksack River Delta Basin,Squalicum Creek Subbasin,Squalicum Creek,City of Bellingham,Annual Macroinvertebrate Monitoring Program,SQCR_2.10,48.776445,-122.480562,1.9,,,,
4,1595,WRIA 1 - Nooksack,Nooksack River Delta Basin,Squalicum Creek Subbasin,Squalicum Creek,City of Bellingham,Annual Macroinvertebrate Monitoring Program,SQCR_3.57,48.77773,-122.4543,9,,,,
5,971,WRIA 1 - Nooksack,Whatcom-Chuckanut Basin,Bellingham Bay Subbasin,Chuckanut Creek,Washington State Department of Ecology,Ambient Freshwater Biological Monitoring Program,BIO06600-CHUC02,48.70185,-122.48827,,,,68.5,
6,2684,WRIA 1 - Nooksack,Whatcom-Chuckanut Basin,Bellingham Bay Subbasin,Chuckanut Creek,City of Bellingham,Annual Macroinvertebrate Monitoring Program,CHCR_0.14,48.700694,-122.493713,63,,,,
7,2683,WRIA 1 - Nooksack,Whatcom-Chuckanut Basin,Bellingham Bay Subbasin,Chuckanut Creek,City of Bellingham,Annual Macroinvertebrate Monitoring Program,CHCR_0.67,48.702203,-122.483705,71.5,,,,
8,1614,WRIA 1 - Nooksack,Whatcom-Chuckanut Basin,Bellingham Bay Subbasin,Hannah Creek,City of Bellingham,Annual Macroinvertebrate Monitoring Program,HACR_0.33,48.750944,-122.433498,53.8,,,,
9,2685,WRIA 1 - Nooksack,Whatcom-Chuckanut Basin,Bellingham Bay Subbasin,Padden Creek,City of Bellingham,Annual Macroinvertebrate Monitoring Program,PACR_0.06,48.719564,-122.507171,9.6,,,,
10,2692,WRIA 1 - Nooksack,Whatcom-Chuckanut Basin,Bellingham Bay Subbasin,Padden Creek,City of Bellingham,Annual Macroinvertebrate Monitoring Program,PACR_1.48,48.715288,-122.486469,32.1,,,,
11,2943,WRIA 1 - Nooksack,Whatcom-Chuckanut Basin,Bellingham Bay Subbasin,Padden Creek,City of Bellingham,Annual Macroinvertebrate Monitoring Program,PACR_1.88,48.714196,-122.47832,85,,,,
12,2688,WRIA 1 - Nooksack,Whatcom-Chuckanut Basin,Bellingham Bay Subbasin,Whatcom Creek,City of Bellingham,Annual Macroinvertebrate Monitoring Program,WHCR_0.29,48.755424,-122.481003,13.3,,,,
13,2689,WRIA 1 - Nooksack,Whatcom-Chuckanut Basin,Bellingham Bay Subbasin,Whatcom Creek,City of Bellingham,Annual Macroinvertebrate Monitoring Program,WHCR_1.34,48.754244,-122.465167,38.3,,,,
