common_name,scientific_name,benthic_macroinverts,ephemeroptera,plecoptera,trichoptera,diptera,odonata,bivalvia,gastropoda,source
american bittern,botaurus lentiginosus,TRUE,,,,,odonata,,,https://birdsoftheworld.org/
american coot,fulica americana,TRUE,,,,diptera,odonata,,gastropoda,https://birdsoftheworld.org/
american crow,corvus brachyrhynchos,,,,,,,,,https://birdsoftheworld.org/
american dipper,cinclus mexicanus,TRUE,ephemeroptera,plecoptera,trichoptera,"Chironomidae, Simuliidae, Tipulidae",,,,https://birdsoftheworld.org/
american goldfinch,spinus tristis,,,,,,,,,https://birdsoftheworld.org/
american kestrel,falco sparverius,TRUE,,,,,odonata,,,https://birdsoftheworld.org/
american pipit,anthus rubescens,TRUE,ephemeroptera,plecoptera,trichoptera,"Chironomidae, Tipulidae",odonata,,,https://birdsoftheworld.org/
american robin,turdus migratorius,TRUE,,,,,odonata,,,https://birdsoftheworld.org/
american wigeon,mareca americana,,,,,,,,,https://birdsoftheworld.org/
anna's hummingbird,calypte anna,TRUE,,,,Chironomidae,,,,https://birdsoftheworld.org/
bald eagle,haliaeetus leucocephalus,,,,,,,,,https://birdsoftheworld.org/
band-tailed pigeon,patagioenas fasciata,,,,,,,,,https://birdsoftheworld.org/
barn owl,tyto alba,,,,,,,,,https://birdsoftheworld.org/
barn swallow,hirundo rustica,TRUE,,,,Tipulidae,odonata,,,https://birdsoftheworld.org/
barred owl,strix varia,,,,,,,,,https://birdsoftheworld.org/
belted kingfisher,megaceryle alcyon,TRUE,ephemeroptera,,,,,,,https://www.usgs.gov/publications/habitat-suitability-index-models-belted-kingfisher
bewick's wren,thryomanes bewickii,,,,,,,,,https://birdsoftheworld.org/
black-capped chickadee,poecile atricapillus,TRUE,,,,Chironomidae,,,,https://birdsoftheworld.org/
black-headed grosbeak,pheucticus melanocephalus,TRUE,,,,,,,,https://doi.org/10.1002/ecs2.3148
black-throated gray warbler,setophaga nigrescens,,,,,,,,,https://birdsoftheworld.org/
blue-winged teal,spatula discors,TRUE,,,,Chironomidae,,bivalvia,gastropoda,https://birdsoftheworld.org/
brewer's blackbird,euphagus cyanocephalus,TRUE,,,,diptera,,,,https://birdsoftheworld.org/
brown creeper,certhia americana,,,,,,,,,https://birdsoftheworld.org/
brown-headed cowbird,molothrus ater,,,,,,,,,https://birdsoftheworld.org/
bufflehead,bucephala albeola,TRUE,ephemeroptera,,trichoptera,"Chironomidae, Chaoborinae",odonata,,,https://birdsoftheworld.org/
bushtit,psaltriparus minimus,,,,,,,,,https://birdsoftheworld.org/
cackling goose,branta hutchinsii,,,,,,,,,https://birdsoftheworld.org/
california gull,larus californicus,TRUE,ephemeroptera,,,diptera,odonata,,,https://birdsoftheworld.org/
california quail,callipepla californica,,,,,,,,,https://birdsoftheworld.org/
california scrub-jay,aphelocoma californica,,,,,,,,,https://birdsoftheworld.org/
canada goose,branta canadensis,,,,,,,,,https://birdsoftheworld.org/
caspian tern,hydroprogne caspia,,,,,,,,,https://birdsoftheworld.org/
cassin's vireo,vireo cassinii,,,,,,,,,https://birdsoftheworld.org/
